,module_name,pos_cnt,neg_cnt,diff,diff_ratio,mean,abs_mean,std,abs_std
0,wte.weight,19385685,19211691,173994,0.004507923025648168,0.00037981817149557173,0.11323977261781693,0.14369550347328186,0.08846079558134079
0,wpe.weight,391884,394548,2664,0.003387451171875,-0.0006787168676964939,0.03344503417611122,0.12269124388694763,0.11804673820734024
0,h.0.ln_1.weight,768,0,768,1.0,0.18035893142223358,0.18035893142223358,0.041288040578365326,0.041288040578365326
0,h.0.ln_1.bias,215,553,338,0.4401041666666667,-0.006593452300876379,0.02012280374765396,0.03577842563390732,0.03030911087989807
0,h.0.attn.c_attn.weight,885069,884403,666,0.0003763834635416667,5.337546099326573e-05,0.13464289903640747,0.1996195763349533,0.14737455546855927
0,h.0.attn.c_attn.bias,1157,1147,10,0.004340277777777778,-0.00070732063613832,0.13402296602725983,0.22592143714427948,0.18187589943408966
0,h.0.attn.c_proj.weight,295020,294804,216,0.0003662109375,-0.00016137902275659144,0.07300904393196106,0.14746128022670746,0.12811924517154694
0,h.0.attn.c_proj.bias,382,386,4,0.005208333333333333,-0.0069102211855351925,0.10740473121404648,0.25879764556884766,0.235559344291687
0,h.0.ln_2.weight,768,0,768,1.0,0.8678297996520996,0.8678297996520996,0.48463207483291626,0.48463207483291626
0,h.0.ln_2.bias,419,349,70,0.09114583333333333,0.009203530848026276,0.02941925637423992,0.07005135715007782,0.06423710286617279
0,h.0.mlp.c_fc.weight,1174852,1184444,9592,0.004065619574652778,-0.0007485310779884458,0.10516799986362457,0.14116926491260529,0.09417545795440674
0,h.0.mlp.c_fc.bias,725,2347,1622,0.5279947916666666,-0.0931621864438057,0.12095367908477783,0.13233646750450134,0.10752834379673004
0,h.0.mlp.c_proj.weight,1179583,1179713,130,5.5101182725694445e-05,8.009039447642863e-06,0.06414201855659485,0.0879654735326767,0.0601973794400692
0,h.0.mlp.c_proj.bias,395,373,22,0.028645833333333332,-0.0004230529593769461,0.05888339504599571,0.10163352638483047,0.0828389972448349
0,h.1.ln_1.weight,768,0,768,1.0,0.22284089028835297,0.22284089028835297,0.051274169236421585,0.051274169236421585
0,h.1.ln_1.bias,185,583,398,0.5182291666666666,-0.005023485515266657,0.01579180173575878,0.0524023063480854,0.05021808296442032
0,h.1.attn.c_attn.weight,884097,885375,1278,0.0007222493489583334,2.808795943565201e-05,0.10081972181797028,0.14005820453166962,0.09721981734037399
0,h.1.attn.c_attn.bias,1182,1122,60,0.026041666666666668,0.000800250272732228,0.11759218573570251,0.2110108733177185,0.17520931363105774
0,h.1.attn.c_proj.weight,294134,295690,1556,0.0026380750868055555,-8.275869186036289e-05,0.06751099228858948,0.10191777348518372,0.07635121047496796
0,h.1.attn.c_proj.bias,389,379,10,0.013020833333333334,-0.0010727139888331294,0.0721949115395546,0.10473975539207458,0.07589110732078552
0,h.1.ln_2.weight,768,0,768,1.0,0.24269406497478485,0.24269406497478485,0.03162475675344467,0.03162475675344467
0,h.1.ln_2.bias,305,463,158,0.20572916666666666,-0.004073990974575281,0.0176913570612669,0.0391695573925972,0.035183344036340714
0,h.1.mlp.c_fc.weight,1185211,1174085,11126,0.004715813530815972,0.0006420304998755455,0.09996537119150162,0.13072052597999573,0.08423302322626114
0,h.1.mlp.c_fc.bias,713,2359,1646,0.5358072916666666,-0.07219841331243515,0.08856824785470963,0.09489554911851883,0.07983383536338806
0,h.1.mlp.c_proj.weight,1180877,1178419,2458,0.001041836208767361,9.794024663278833e-05,0.06410806626081467,0.08719105273485184,0.059096917510032654
0,h.1.mlp.c_proj.bias,376,392,16,0.020833333333333332,0.0002505724842194468,0.06393086910247803,0.10036367923021317,0.07736779004335403
0,h.2.ln_1.weight,768,0,768,1.0,0.24077004194259644,0.24077004194259644,0.0752236619591713,0.0752236619591713
0,h.2.ln_1.bias,318,450,132,0.171875,-0.0003600781783461571,0.015341733582317829,0.07051321119070053,0.06882494688034058
0,h.2.attn.c_attn.weight,885484,883988,1496,0.0008454499421296296,8.215600973926485e-05,0.11127921938896179,0.15266866981983185,0.10452111065387726
0,h.2.attn.c_attn.bias,1137,1167,30,0.013020833333333334,-0.0038766716606914997,0.09550579637289047,0.16480891406536102,0.1343713104724884
0,h.2.attn.c_proj.weight,294958,294866,92,0.00015597873263888888,-3.299472155049443e-05,0.0610746331512928,0.08103540539741516,0.05325997620820999
0,h.2.attn.c_proj.bias,399,369,30,0.0390625,0.0033755905460566282,0.11295010894536972,0.14501728117465973,0.09101472795009613
0,h.2.ln_2.weight,768,0,768,1.0,0.2925874590873718,0.2925874590873718,0.04537602514028549,0.04537602514028549
0,h.2.ln_2.bias,456,312,144,0.1875,0.006347864866256714,0.023945989087224007,0.04390425980091095,0.03734259307384491
0,h.2.mlp.c_fc.weight,1147377,1211919,64542,0.027356465657552082,-0.005061259958893061,0.10285000503063202,0.13352689146995544,0.08530480414628983
0,h.2.mlp.c_fc.bias,492,2580,2088,0.6796875,-0.0928223505616188,0.10937312990427017,0.10665343701839447,0.08960168808698654
0,h.2.mlp.c_proj.weight,1179910,1179386,524,0.00022210015190972222,0.00019714869267772883,0.06946748495101929,0.09308748692274094,0.061964429914951324
0,h.2.mlp.c_proj.bias,381,387,6,0.0078125,0.0028193567413836718,0.07941441982984543,0.11235591024160385,0.07953082025051117
0,h.3.ln_1.weight,768,0,768,1.0,0.3010978400707245,0.3010978400707245,0.05347767099738121,0.05347767099738121
0,h.3.ln_1.bias,549,219,330,0.4296875,0.005447506904602051,0.01421369332820177,0.07011242210865021,0.06887233257293701
0,h.3.attn.c_attn.weight,884298,885174,876,0.0004950629340277778,-2.4484037567162886e-05,0.10865449905395508,0.14180737733840942,0.09112375229597092
0,h.3.attn.c_attn.bias,1132,1172,40,0.017361111111111112,-0.000888569513335824,0.08672849088907242,0.141738161444664,0.11211004108190536
0,h.3.attn.c_proj.weight,295008,294816,192,0.0003255208333333333,3.374143852852285e-05,0.06414999812841415,0.08412502706050873,0.054422441869974136
0,h.3.attn.c_proj.bias,386,382,4,0.005208333333333333,-0.0015612887218594551,0.07953143864870071,0.10784010589122772,0.07284693419933319
0,h.3.ln_2.weight,767,1,766,0.9973958333333334,0.30650779604911804,0.30650845170021057,0.05261926352977753,0.05261538550257683
0,h.3.ln_2.bias,501,267,234,0.3046875,0.00996524840593338,0.026255087926983833,0.04354790970683098,0.03614411875605583
0,h.3.mlp.c_fc.weight,1137857,1221439,83582,0.03542666965060764,-0.005950025282800198,0.1019684448838234,0.12953026592731476,0.08009950071573257
0,h.3.mlp.c_fc.bias,395,2677,2282,0.7428385416666666,-0.09253177046775818,0.1029311791062355,0.08564504981040955,0.07281740754842758
