,module_name,total_num,pos_cnt,neg_cnt,diff,diff_ratio,mean,abs_mean,std,abs_std
0,wte.weight,38597376,19385685,19211691,173994,0.004507923025648168,0.00037981817149557173,0.11323977261781693,0.14369550347328186,0.08846079558134079
0,wpe.weight,786432,391884,394548,2664,0.003387451171875,-0.0006787168676964939,0.03344503417611122,0.12269124388694763,0.11804673820734024
0,h.0,7087872,3539353,3548519,9166,0.0012931949109690468,-0.0001741413725540042,0.0962788388133049,0.14530880749225616,0.10883491486310959
0,h.1,7087872,3549005,3538867,10138,0.0014303305703037526,0.0002647706132847816,0.08554693311452866,0.1183876246213913,0.08183769136667252
0,h.2,7087872,3512448,3575424,62976,0.008885036298623902,-0.001583700766786933,0.09038269519805908,0.12340430915355682,0.08403648436069489
0,h.3,7087872,3501712,3586160,84448,0.011914436378083577,-0.0018979442538693547,0.08945223689079285,0.11851226538419724,0.07776280492544174
0,h.4,7087872,3522293,3565579,43286,0.00610705159461119,-0.0009598960168659687,0.0905553326010704,0.12033860385417938,0.0792592391371727
0,h.5,7087872,3514486,3573386,58900,0.008309969480261494,-0.0013472510036081076,0.08917684853076935,0.11559685319662094,0.07356598973274231
0,h.6,7087872,3526036,3561836,35800,0.005050881280023116,-0.0008447861764580011,0.09298523515462875,0.11949945986270905,0.07506383210420609
0,h.7,7087872,3518262,3569610,51348,0.007244487485101311,-0.001135318772867322,0.09677654504776001,0.12364566326141357,0.07696644961833954
0,h.8,7087872,3526666,3561206,34540,0.004873112832737386,-0.0006868982454761863,0.10166461020708084,0.12962011992931366,0.08041233569383621
0,h.9,7087872,3522257,3565615,43358,0.0061172097915989454,-0.0008865094860084355,0.10787194967269897,0.13816115260124207,0.0863303393125534
0,h.10,7087872,3522400,3565472,43072,0.00607685917578647,-0.0009983561467379332,0.11391278356313705,0.14776188135147095,0.09411920607089996
0,h.11,7087872,3528370,3559502,31132,0.004392291508650269,-0.0006702644168399274,0.11935054510831833,0.16021719574928284,0.1068899929523468
0,ln_f.weight,768,768,0,768,1.0,1.5078086853027344,1.5078086853027344,1.390171766281128,1.390171766281128
0,ln_f.bias,768,306,462,156,0.203125,-0.0031384676694869995,0.09622282534837723,0.41937366127967834,0.4081975817680359
